"Step","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean-infer - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/flops_ratio__MAX"
"19","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8687900641025641","0.8687900641025641","0.8687900641025641","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"21","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"22","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"23","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8661858974358975","0.8661858974358975","0.8661858974358975","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"24","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"26","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"27","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"28","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.7908653846153846","0.7908653846153846","0.7908653846153846"
"29","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461"
"31","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"32","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461"
"33","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.8050881410256411","0.8050881410256411","0.8050881410256411","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693"
"34","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"36","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7918669871794872","0.7918669871794872","0.7918669871794872","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077"
"37","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7866586538461539","0.7866586538461539","0.7866586538461539","","","","0.7872596153846154","0.7872596153846154","0.7872596153846154"
"38","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7874599358974359","0.7874599358974359","0.7874599358974359","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539"
"39","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7954727564102564","0.7954727564102564","0.7954727564102564","","","","0.7872596153846154","0.7872596153846154","0.7872596153846154"
"41","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7696314102564102","0.7696314102564102","0.7696314102564102","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"42","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7822516025641025","0.7822516025641025","0.7822516025641025","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539"
"43","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","0.7834535256410257","0.7834535256410257","0.7834535256410257","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"44","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","0.7864583333333334","0.7864583333333334","0.7864583333333334","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"46","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","0.782051282051282","0.782051282051282","0.782051282051282","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539"
"47","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8649839743589743","0.8649839743589743","0.8649839743589743","","","","0.7880608974358975","0.7880608974358975","0.7880608974358975","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"48","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","0.7880608974358975","0.7880608974358975","0.7880608974358975","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
"49","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","1","1","1","","","","0.8645833333333334","0.8645833333333334","0.8645833333333334","","","","0.7682291666666666","0.7682291666666666","0.7682291666666666","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769"
