"Step","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/attn_ratio","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/attn_ratio__MIN","paper-main_4096_shallow_freeze-seed0-eval200-clean - aah/attn_ratio__MAX","paper-main_4096_grouping_off-seed0-eval200-clean - aah/attn_ratio","paper-main_4096_grouping_off-seed0-eval200-clean - aah/attn_ratio__MIN","paper-main_4096_grouping_off-seed0-eval200-clean - aah/attn_ratio__MAX","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/attn_ratio","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/attn_ratio__MIN","paper-main_4096_full_adaptive-seed0-eval200-clean - aah/attn_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/attn_ratio","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/attn_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-eval200-clean - aah/attn_ratio__MAX"
"1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","1","1","1","1","1","1","1","1","1","1"
"3","0.4049479166666667","0.4049479166666667","0.4049479166666667","0.5859375","0.5859375","0.5859375","0.3763020833333333","0.3763020833333333","0.3763020833333333","0.33203125","0.33203125","0.33203125"
"4","0.3932291666666667","0.3932291666666667","0.3932291666666667","0.5813802083333334","0.5813802083333334","0.5813802083333334","0.328125","0.328125","0.328125","0.33203125","0.33203125","0.33203125"
"6","0.3932291666666667","0.3932291666666667","0.3932291666666667","0.5813802083333334","0.5813802083333334","0.5813802083333334","0.3326822916666667","0.3326822916666667","0.3326822916666667","0.33203125","0.33203125","0.33203125"
"7","0.3932291666666667","0.3932291666666667","0.3932291666666667","0.5813802083333334","0.5813802083333334","0.5813802083333334","0.3326822916666667","0.3326822916666667","0.3326822916666667","0.3359375","0.3359375","0.3359375"
"8","0.3932291666666667","0.3932291666666667","0.3932291666666667","0.5774739583333334","0.5774739583333334","0.5774739583333334","0.333984375","0.333984375","0.333984375","0.3359375","0.3359375","0.3359375"
"9","0.3932291666666667","0.3932291666666667","0.3932291666666667","0.5729166666666666","0.5729166666666666","0.5729166666666666","0.36328125","0.36328125","0.36328125","0.36328125","0.36328125","0.36328125"
"11","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5729166666666666","0.5729166666666666","0.5729166666666666","0.3619791666666667","0.3619791666666667","0.3619791666666667","0.38671875","0.38671875","0.38671875"
"12","0.4075520833333333","0.4075520833333333","0.4075520833333333","0.5729166666666666","0.5729166666666666","0.5729166666666666","0.3626302083333333","0.3626302083333333","0.3626302083333333","0.38671875","0.38671875","0.38671875"
