method,grouping,hierarchy,joint_scorer,context,seed,val_loss,val_ppl,ACR_train_proxy,flops_ratio,tokens_per_second_train,peak_gpu_alloc_GiB,peak_gpu_reserved_GiB,window_frac_512,window_frac_1024,window_frac_2048,window_frac_4096
Pure baseline,off,none,off,4096,0,6.567178797721863,711.3601187587386,1.0,1.0,4418.455778273884,35.17796564102173,36.638671875,,,,
grouping_off,off,none,off,4096,0,6.565546917915344,710.2002112180259,0.5813802083333334,0.8711939102564102,3633.780956088892,35.99608135223389,38.1796875,0.3281249999999999,0.0885416666666666,0.1302083333333333,0.4531249999999999
Full adaptive,adaptive learned,"[2,2,2,2] adaptive",wide joint,4096,0,6.558972287178039,705.5462229711408,0.306640625,0.7866586538461539,3399.092863449288,36.78188514709473,39.01953125,0.6302083333333333,0.1197916666666666,0.1041666666666666,0.1458333333333333
Shallow freeze,learned frozen,[2],wide joint,4096,0,6.53667140007019,689.9860638511692,0.3723958333333333,0.8068910256410257,3534.4543816493483,36.76906442642212,38.236328125,0.5,0.1875,0.0989583333333333,0.2135416666666666
Deep practical reuse,cached level-0,"[2,2,2,2] reuse",wide joint,4096,0,6.554859161376953,702.6501825697131,0.2890625,0.78125,3394.992850936404,36.615747928619385,38.236328125,0.5625,0.25,0.0625,0.125
