method,grouping,hierarchy,joint_scorer,context,checkpoint_step,seed,val_loss,val_ppl,ACR,flops_ratio,flops_reduction_percent,tokens_per_second_infer,elapsed_s,window_frac_512,window_frac_1024,window_frac_2048,window_frac_4096,resolution_per_head_mean_raw
Pure baseline,off,none,off,4096,10000,0,6.587840525830378,726.2109416290015,1.0,1.0,0.0,14419.846700057942,17.327229976654053,,,,,
grouping_off,off,none,off,4096,10000,0,6.589296309674372,727.2689176905376,0.5793843920765027,0.8705798129466162,12.942018705338375,8193.361138006936,30.494933128356937,0.3273565573770491,0.0884562841530054,0.1356728142076503,0.4485143442622942,"[2519.08203125,2228.458984375,2298.754150390625,2226.360595703125,2552.131103515625,2234.754150390625,2303.475341796875,2521.704833984375,2332.8525390625,2334.950927734375,2405.245849609375,2520.131103515625]"
Full adaptive,adaptive learned,"[2,2,2,2] adaptive",wide joint,4096,10000,0,6.582384383092161,722.2594209068576,0.2575243340163934,0.771545948928121,22.8454051071879,4454.830608594653,56.08653211593628,0.6324282786885249,0.1773394808743171,0.1121926229508197,0.0780396174863388,"[956.8524780273438,992.5245971679688,1056.5245361328125,1140.458984375,961.0491943359376,1078.557373046875,948.9835815429688,1032.3934326171875,1076.458984375,1057.57373046875,1304.65576171875,1051.80322265625]"
Shallow freeze,learned frozen,[2],wide joint,4096,10000,0,6.5583310439938405,705.0939412912935,0.3392994364754098,0.7967075189155107,20.32924810844893,7053.018879174308,35.425397872924805,0.5140881147540992,0.1694842896174864,0.1675204918032786,0.1489071038251365,"[1333.5081787109375,1351.868896484375,1357.11474609375,1291.016357421875,1392.2623291015625,1230.6884765625,1585.8360595703125,1513.9671630859375,1138.88525390625,1765.245849609375,1332.983642578125,1383.868896484375]"
Deep practical reuse,cached level-0,"[2,2,2,2] reuse",wide joint,4096,10000,0,6.583314684570813,722.9316525546632,0.3624807889344262,0.8038402427490542,19.615975725094582,4844.560619830374,51.57454299926758,0.5024760928961745,0.1995389344262294,0.0963968579234973,0.2015881147540983,"[1424.2623291015625,1265.3115234375,1751.0819091796875,1262.6884765625,1566.42626953125,1670.8197021484375,1483.016357421875,1456.786865234375,1454.1639404296875,1669.7705078125,1640.9180908203125,1171.4097900390625]"
