regime,layer_id,head_id,selected_window_idx,selected_window_size,pre_clamp_window_idx,final_window_idx,final_window_size,ACR
deep_practical_reuse,0,0,0,512,0,0,512,1.0
deep_practical_reuse,0,1,0,512,0,0,512,1.0
deep_practical_reuse,0,2,0,512,0,0,512,1.0
deep_practical_reuse,0,3,0,512,0,0,512,1.0
deep_practical_reuse,0,4,0,512,0,0,512,1.0
deep_practical_reuse,0,5,0,512,0,0,512,1.0
deep_practical_reuse,0,6,0,512,0,0,512,1.0
deep_practical_reuse,0,7,0,512,0,0,512,1.0
deep_practical_reuse,0,8,0,512,0,0,512,1.0
deep_practical_reuse,0,9,0,512,0,0,512,1.0
deep_practical_reuse,0,10,0,512,0,0,512,1.0
deep_practical_reuse,0,11,0,512,0,0,512,1.0
deep_practical_reuse,0,12,0,512,0,0,512,1.0
deep_practical_reuse,0,13,0,512,0,0,512,1.0
deep_practical_reuse,0,14,0,512,0,0,512,1.0
deep_practical_reuse,0,15,0,512,0,0,512,1.0
deep_practical_reuse,0,16,0,512,0,0,512,1.0
deep_practical_reuse,0,17,0,512,0,0,512,1.0
deep_practical_reuse,0,18,0,512,0,0,512,1.0
deep_practical_reuse,0,19,0,512,0,0,512,1.0
deep_practical_reuse,0,20,0,512,0,0,512,1.0
deep_practical_reuse,0,21,0,512,0,0,512,1.0
deep_practical_reuse,0,22,0,512,0,0,512,1.0
deep_practical_reuse,0,23,0,512,0,0,512,1.0
deep_practical_reuse,0,24,0,512,0,0,512,1.0
deep_practical_reuse,0,25,0,512,0,0,512,1.0
deep_practical_reuse,0,26,0,512,0,0,512,1.0
deep_practical_reuse,0,27,0,512,0,0,512,1.0
deep_practical_reuse,0,28,0,512,0,0,512,1.0
deep_practical_reuse,0,29,0,512,0,0,512,1.0
deep_practical_reuse,0,30,0,512,0,0,512,1.0
deep_practical_reuse,0,31,0,512,0,0,512,1.0
deep_practical_reuse,1,0,1,1024,1,1,1024,1.0
deep_practical_reuse,1,1,1,1024,1,1,1024,1.0
deep_practical_reuse,1,2,1,1024,1,1,1024,1.0
deep_practical_reuse,1,3,1,1024,1,1,1024,1.0
deep_practical_reuse,1,4,1,1024,1,1,1024,1.0
deep_practical_reuse,1,5,1,1024,1,1,1024,1.0
deep_practical_reuse,1,6,1,1024,1,1,1024,1.0
deep_practical_reuse,1,7,1,1024,1,1,1024,1.0
deep_practical_reuse,1,8,1,1024,1,1,1024,1.0
deep_practical_reuse,1,9,1,1024,1,1,1024,1.0
deep_practical_reuse,1,10,1,1024,1,1,1024,1.0
