step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
50,52.643188,3090.02,1996.16,,,1996.16,120.50,407192.27,,,,69.95,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8147,0.8141,0.8149,0.8146,0.8144,0.8152,0.8151,0.8156,0.8162,0.8155,0.8151,0.8135,0.8146,0.8154,0.8158,0.8176,0.8162,0.8182,0.8174,0.8160,0.8180,0.8139,0.8217,0.8213,0.8215,0.8222,0.8220,0.8213,0.8208,0.8211,0.8230,0.8231,0.8227,0.8228,0.8231,0.8227,0.8227,0.8227,0.8234,0.8235,0.8234,0.8230,0.8237,0.8233,0.8233,0.8231,0.8240,0.8237,0.8234,0.8238,0.8229,0.8234,0.8233,0.8235,0.8238,0.8231,0.8236,0.8238,0.8239,0.8240,0.8234,0.8233",0.000000,512.00,,,,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3","-0.327699,0.186017,0.059298,-0.138232|-0.223828,-0.117600,-0.071211,0.236145|0.109320,-0.130131,-0.201568,0.179938|-0.212847,-0.166678,-0.111397,-0.135410|-0.207784,-0.493404,-0.262184,-0.041507|-0.183288,0.061313,0.117908,0.241911|-0.302470,0.133472,-0.238517,-0.391781|0.204978,-0.246720,-0.105711,0.278376","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,11.41,27.76,,15.87,888.75,
100,35.704575,3262.23,1996.16,,,1996.16,118.91,407194.81,,,,71.78,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8140,0.8141,0.8027,0.8137,0.8122,0.8139,0.8048,0.8151,0.8153,0.8158,0.8150,0.8138,0.8108,0.8140,0.8145,0.8185,0.8203,0.8187,0.8203,0.8195,0.8188,0.8196,0.8185,0.8230,0.8227,0.8221,0.8229,0.8231,0.8227,0.8223,0.8231,0.8233,0.8239,0.8237,0.8235,0.8239,0.8229,0.8234,0.8236,0.8238,0.8238,0.8241,0.8240,0.8244,0.8240,0.8242,0.8240,0.8245,0.8239,0.8234,0.8238,0.8238,0.8237,0.8238,0.8235,0.8239,0.8238,0.8242,0.8241,0.8239,0.8240,0.8232,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3","-0.327699,0.186017,0.059298,-0.138232|-0.223828,-0.117600,-0.071211,0.236145|0.109320,-0.130131,-0.201568,0.179938|-0.212847,-0.166678,-0.111397,-0.135410|-0.207784,-0.493404,-0.262184,-0.041507|-0.183288,0.061313,0.117908,0.241911|-0.302470,0.133472,-0.238517,-0.391781|0.204978,-0.246720,-0.105711,0.278376","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,11.06,26.03,,14.90,827.82,
150,28.045780,3662.03,1996.16,,,1996.16,118.44,407200.81,,,,72.56,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7113,0.7107,0.7100,0.6839,0.7105,0.7033,0.7120,0.6911,0.8156,0.8146,0.8150,0.8130,0.8128,0.8086,0.8136,0.8138,0.8198,0.8220,0.8199,0.8214,0.8204,0.8201,0.8208,0.8200,0.7925,0.7922,0.7924,0.7924,0.7910,0.7917,0.7917,0.7920,0.8230,0.8239,0.8234,0.8234,0.8235,0.8235,0.8237,0.8237,0.8238,0.8240,0.8243,0.8232,0.8240,0.8237,0.8242,0.8240,0.7214,0.7213,0.7211,0.7220,0.7216,0.7217,0.7216,0.7217,0.8245,0.8244,0.8239,0.8236,0.8237,0.8237,0.8245,0.8241",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,29.58,,12.18,849.82,
200,26.480860,3657.49,1996.16,,,1996.16,125.08,407205.81,,,,79.03,,,,,12582912.00,0.750000,512,"128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512","0.7119,0.7106,0.7091,0.6810,0.7099,0.7020,0.7117,0.6911,0.8148,0.8143,0.8155,0.8136,0.8122,0.8085,0.8132,0.8129,0.8206,0.8212,0.8203,0.8219,0.8211,0.8199,0.8209,0.8209,0.7925,0.7922,0.7921,0.7921,0.7916,0.7918,0.7915,0.7919,0.8239,0.8232,0.8234,0.8238,0.8236,0.8236,0.8236,0.8233,0.8237,0.8237,0.8243,0.8237,0.8237,0.8234,0.8242,0.8240,0.7216,0.7214,0.7218,0.7220,0.7209,0.7221,0.7216,0.7221,0.8237,0.8234,0.8238,0.8242,0.8242,0.8237,0.8241,0.8247",0.000000,384.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},384.00,384.00,384.00,128.00,512.00,0.00,28.61,,12.37,885.12,
200,,,,25.237072,91268564746.7628
