step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,head_groups,step_time_ms,eval_time_s
3600,7.078065,4841.54,0.00,,,2019.72,,,,,,,,,,,521.91,
3600,,,,6.804061,901.5008
3650,6.971989,3754.89,0.00,,,2019.72,,,,,,,,,,,533.94,
3700,6.959923,5859.60,0.00,,,2019.72,,,,,,,,,,,534.41,
3750,6.986179,5798.09,0.00,,,2019.72,,,,,,,,,,,508.94,
3800,6.745718,5756.98,0.00,,,2019.72,,,,,,,,,,,510.98,
3800,,,,6.811990,908.6768
3850,7.111870,3681.17,0.00,,,2019.72,,,,,,,,,,,527.39,
3900,6.862842,5836.39,0.00,,,2019.72,,,,,,,,,,,528.44,
3950,6.879468,5336.04,0.00,,,2019.72,,,,,,,,,,,532.37,
4000,7.019282,5816.48,0.00,,,2019.72,,,,,,,,,,,509.50,
4000,,,,6.766866,868.5852
4050,7.047937,3532.11,0.00,,,2019.72,,,,,,,,,,,1118.22,
4100,6.896930,4153.34,0.00,,,2019.72,,,,,,,,,,,507.51,
4150,6.794618,4608.84,0.00,,,2019.72,,,,,,,,,,,516.98,
4200,6.834511,5316.55,0.00,,,2019.72,,,,,,,,,,,630.63,
4200,,,,6.747208,851.6773
4250,6.953459,3303.63,0.00,,,2019.72,,,,,,,,,,,543.28,
4300,6.812956,5635.97,0.00,,,2019.72,,,,,,,,,,,510.00,
4350,6.831776,5332.33,0.00,,,2019.72,,,,,,,,,,,558.40,
4400,6.951205,5772.27,0.00,,,2019.72,,,,,,,,,,,558.57,
4400,,,,6.723355,831.6029
4450,6.708437,2774.58,0.00,,,2019.72,,,,,,,,,,,590.75,
4500,6.827607,5421.26,0.00,,,2019.72,,,,,,,,,,,591.64,
4550,6.613304,5862.57,0.00,,,2019.72,,,,,,,,,,,613.51,
4600,6.857186,5577.99,0.00,,,2019.72,,,,,,,,,,,579.24,
4600,,,,6.706606,817.7906
