step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,step_time_ms,eval_time_s
50,52.643188,4033.63,2033.22,,,2033.22,64.34,407164.86,,,,35.81,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,719.49,
100,35.704575,4984.56,2033.22,,,2033.22,104.77,407164.86,,,,68.67,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,621.98,
150,28.045113,4935.75,2033.22,,,2033.22,102.41,407164.86,,,,65.38,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,567.73,
200,26.479870,4937.13,2033.22,,,2033.22,89.67,407165.95,,,,56.67,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512",,,512.00,,,,|||||||,|||||||,|||||||,{},{},512.00,512.00,512.00,512.00,512.00,714.97,
200,,,,25.237572,91314164459.2588
