step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,step_time_ms,eval_time_s
450,13.242615,2548.91,2053.50,,,2053.50,139.73,407240.36,,,,98.00,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6987,0.6714,0.6162,0.5657,0.6818,0.6622,0.6796,0.6436,0.6733,0.6213,0.6371,0.5444,0.6330,0.6260,0.5819,0.5883,0.7206,0.7210,0.7200,0.7207,0.7201,0.7197,0.7210,0.7209,0.8237,0.8238,0.8234,0.8239,0.8229,0.8230,0.8239,0.8237,0.8235,0.8236,0.8237,0.8241,0.8240,0.8235,0.8244,0.8236,0.6303,0.6309,0.6310,0.6309,0.6303,0.6306,0.6307,0.6309,0.7931,0.7930,0.7926,0.7928,0.7922,0.7930,0.7925,0.7928,0.8236,0.8236,0.8240,0.8240,0.8241,0.8239,0.8242,0.8239",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},804.46,
500,12.417146,3935.49,2053.50,,,2053.50,135.08,407243.81,,,,93.08,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6943,0.6652,0.5911,0.5648,0.6662,0.6542,0.6769,0.6439,0.6074,0.5600,0.5811,0.5103,0.5993,0.5788,0.5358,0.5345,0.7198,0.7210,0.7203,0.7216,0.7204,0.7207,0.7203,0.7203,0.8233,0.8237,0.8231,0.8237,0.8235,0.8239,0.8235,0.8243,0.8234,0.8241,0.8243,0.8235,0.8239,0.8245,0.8238,0.8235,0.6310,0.6308,0.6311,0.6306,0.6305,0.6302,0.6304,0.6301,0.7933,0.7924,0.7923,0.7934,0.7922,0.7929,0.7931,0.7927,0.8239,0.8238,0.8237,0.8238,0.8245,0.8242,0.8240,0.8240",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},801.22,
550,11.300006,3932.90,2053.50,,,2053.50,141.45,407248.36,,,,99.39,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6878,0.6522,0.5649,0.5578,0.6503,0.6455,0.6680,0.6532,0.5826,0.5131,0.5446,0.5104,0.5769,0.5552,0.5068,0.5007,0.7199,0.7208,0.7201,0.7207,0.7209,0.7200,0.7215,0.7201,0.8239,0.8247,0.8240,0.8234,0.8237,0.8236,0.8236,0.8238,0.8238,0.8238,0.8238,0.8237,0.8247,0.8236,0.8243,0.8242,0.6295,0.6305,0.6302,0.6307,0.6305,0.6309,0.6307,0.6306,0.7931,0.7928,0.7934,0.7926,0.7930,0.7932,0.7927,0.7933,0.8240,0.8244,0.8240,0.8239,0.8239,0.8239,0.8240,0.8236",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},786.48,
600,11.422398,3549.62,2053.50,,,2053.50,118.56,407252.91,,,,80.02,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6802,0.6461,0.5608,0.5515,0.6449,0.6357,0.6620,0.6518,0.5833,0.4875,0.5273,0.4936,0.5707,0.5416,0.4866,0.4779,0.7207,0.7214,0.7203,0.7212,0.7205,0.7203,0.7202,0.7211,0.8239,0.8235,0.8237,0.8237,0.8235,0.8247,0.8234,0.8241,0.8235,0.8243,0.8238,0.8243,0.8238,0.8238,0.8238,0.8236,0.6306,0.6307,0.6309,0.6306,0.6302,0.6302,0.6306,0.6304,0.7925,0.7927,0.7928,0.7928,0.7928,0.7926,0.7927,0.7926,0.8240,0.8237,0.8241,0.8236,0.8238,0.8235,0.8238,0.8239",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},837.69,
600,,,,9.804685,18118.4361
650,11.200262,2556.23,2053.50,,,2053.50,142.25,407260.92,,,,100.16,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6757,0.6373,0.5545,0.5616,0.6456,0.6242,0.6498,0.6484,0.5861,0.4961,0.5219,0.5149,0.5795,0.5447,0.4841,0.4718,0.7209,0.7212,0.7203,0.7217,0.7207,0.7206,0.7210,0.7210,0.8239,0.8228,0.8235,0.8235,0.8237,0.8234,0.8235,0.8235,0.8240,0.8241,0.8239,0.8241,0.8231,0.8243,0.8238,0.8237,0.6307,0.6300,0.6302,0.6305,0.6302,0.6300,0.6307,0.6305,0.7926,0.7926,0.7933,0.7941,0.7928,0.7932,0.7933,0.7930,0.8238,0.8243,0.8242,0.8236,0.8240,0.8241,0.8242,0.8243",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},768.08,
700,10.301073,3933.16,2053.50,,,2053.50,146.66,407264.92,,,,104.81,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6718,0.6309,0.5374,0.5555,0.6329,0.6289,0.6383,0.6423,0.5967,0.5169,0.5255,0.5258,0.5783,0.5653,0.5081,0.5022,0.7198,0.7207,0.7206,0.7210,0.7210,0.7209,0.7203,0.7206,0.8238,0.8234,0.8243,0.8236,0.8234,0.8238,0.8234,0.8237,0.8238,0.8241,0.8245,0.8233,0.8235,0.8240,0.8233,0.8234,0.6307,0.6309,0.6304,0.6311,0.6305,0.6312,0.6299,0.6308,0.7934,0.7927,0.7930,0.7928,0.7925,0.7935,0.7931,0.7922,0.8242,0.8240,0.8239,0.8239,0.8239,0.8240,0.8242,0.8234",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},816.23,
750,10.720398,3907.57,2053.50,,,2053.50,142.80,407270.92,,,,101.34,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6654,0.6238,0.5451,0.5494,0.6271,0.6257,0.6312,0.6501,0.6125,0.5534,0.5532,0.5429,0.5836,0.5785,0.5332,0.5268,0.7202,0.7214,0.7199,0.7210,0.7219,0.7214,0.7212,0.7204,0.8242,0.8243,0.8235,0.8240,0.8239,0.8235,0.8236,0.8238,0.8235,0.8241,0.8243,0.8237,0.8240,0.8238,0.8239,0.8243,0.6306,0.6304,0.6302,0.6304,0.6304,0.6305,0.6304,0.6303,0.7928,0.7928,0.7929,0.7929,0.7931,0.7929,0.7923,0.7924,0.8245,0.8240,0.8246,0.8238,0.8238,0.8243,0.8235,0.8238",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},825.70,
800,10.409215,3458.57,2053.50,,,2053.50,78.27,407272.92,,,,49.61,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.6565,0.6090,0.5315,0.5389,0.6183,0.6224,0.6136,0.6429,0.6042,0.5626,0.5419,0.5398,0.5719,0.5968,0.5374,0.5439,0.7203,0.7218,0.7200,0.7211,0.7205,0.7201,0.7209,0.7200,0.8237,0.8238,0.8236,0.8236,0.8236,0.8240,0.8232,0.8241,0.8235,0.8241,0.8234,0.8240,0.8242,0.8242,0.8239,0.8234,0.6296,0.6308,0.6306,0.6304,0.6314,0.6303,0.6299,0.6314,0.7929,0.7935,0.7928,0.7928,0.7925,0.7924,0.7929,0.7925,0.8246,0.8237,0.8239,0.8236,0.8240,0.8237,0.8235,0.8240",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},1776.55,
800,,,,8.759378,6370.1492
