step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,step_time_ms,eval_time_s
50,52.643188,2374.69,2054.34,,,2054.34,99.38,407189.47,,,,56.16,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8150,0.8148,0.8147,0.8141,0.8149,0.8146,0.8144,0.8152,0.8151,0.8156,0.8162,0.8155,0.8151,0.8135,0.8146,0.8154,0.8158,0.8176,0.8162,0.8182,0.8174,0.8160,0.8180,0.8139,0.8217,0.8213,0.8215,0.8222,0.8220,0.8213,0.8208,0.8211,0.8230,0.8231,0.8227,0.8228,0.8231,0.8227,0.8227,0.8227,0.8234,0.8235,0.8234,0.8230,0.8237,0.8233,0.8233,0.8231,0.8240,0.8237,0.8234,0.8238,0.8229,0.8234,0.8233,0.8235,0.8238,0.8231,0.8236,0.8238,0.8239,0.8240,0.8234,0.8233",0.000000,512.00,,,,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|0,0,0,0,0,0,0,0|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3","-0.316114,0.189470,0.052843,-0.134871|-0.273597,-0.060932,-0.107799,0.138399|-0.028075,0.206298,-0.708153,0.067578|-0.686585,0.403758,-1.171288,0.452386|-0.111581,-1.349847,-0.921554,0.121312|1.197210,-0.248952,-0.212696,0.336582|-1.475753,0.145352,0.168097,-0.940413|0.654238,-0.344958,0.124979,0.929944","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,1062.27,
100,35.704571,3496.68,2054.34,,,2054.34,129.41,407195.47,,,,81.45,,,,,16777216.00,1.000000,512,"512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512","0.8146,0.8140,0.8141,0.8027,0.8137,0.8122,0.8139,0.8048,0.8151,0.8153,0.8158,0.8150,0.8138,0.8108,0.8140,0.8145,0.8185,0.8203,0.8187,0.8203,0.8195,0.8188,0.8196,0.8185,0.8230,0.8227,0.8221,0.8229,0.8231,0.8227,0.8223,0.8231,0.8233,0.8239,0.8237,0.8235,0.8239,0.8229,0.8234,0.8236,0.8238,0.8238,0.8241,0.8240,0.8244,0.8240,0.8242,0.8240,0.8245,0.8239,0.8234,0.8238,0.8238,0.8237,0.8238,0.8235,0.8239,0.8238,0.8242,0.8241,0.8239,0.8240,0.8232,0.8240",0.000000,512.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0","1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1|3,3,3,3,3,3,3,3|3,3,3,3,3,3,3,3|0,0,0,0,0,0,0,0|2,2,2,2,2,2,2,2|3,3,3,3,3,3,3,3","-0.307573,0.191803,0.048033,-0.132887|-0.319851,0.046216,-0.143071,0.034295|-0.108274,0.539639,-1.246988,-0.079481|-0.903450,0.727892,-1.688091,0.758999|-0.047499,-1.810596,-1.217094,0.160090|1.618114,-0.372281,-0.317408,0.350887|-1.824719,0.088162,0.251368,-1.149217|0.760407,-0.404242,0.200582,1.163103","{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 1.0},512.00,512.00,512.00,512.00,512.00,987.47,
150,28.046074,3899.10,2054.34,,,2054.34,119.19,407197.92,,,,75.33,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7113,0.7106,0.7099,0.6837,0.7105,0.7032,0.7120,0.6909,0.7133,0.7119,0.7130,0.7107,0.7106,0.7063,0.7110,0.7110,0.7171,0.7197,0.7176,0.7192,0.7182,0.7178,0.7185,0.7175,0.8236,0.8233,0.8235,0.8236,0.8222,0.8227,0.8228,0.8230,0.8230,0.8239,0.8234,0.8234,0.8235,0.8235,0.8237,0.8237,0.6300,0.6305,0.6309,0.6301,0.6305,0.6301,0.6306,0.6308,0.7926,0.7925,0.7922,0.7927,0.7926,0.7925,0.7928,0.7927,0.8245,0.8244,0.8239,0.8236,0.8237,0.8237,0.8245,0.8241",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,862.49,
200,26.481785,3957.63,2054.34,,,2054.34,131.39,407203.92,,,,85.45,,,,,9175040.00,0.546875,512,"128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512","0.7119,0.7106,0.7090,0.6807,0.7098,0.7019,0.7117,0.6908,0.7125,0.7117,0.7129,0.7114,0.7100,0.7060,0.7109,0.7107,0.7180,0.7189,0.7181,0.7200,0.7185,0.7179,0.7186,0.7186,0.8236,0.8234,0.8232,0.8233,0.8228,0.8230,0.8225,0.8230,0.8239,0.8232,0.8234,0.8238,0.8236,0.8236,0.8236,0.8233,0.6301,0.6304,0.6308,0.6313,0.6309,0.6304,0.6299,0.6308,0.7928,0.7922,0.7929,0.7933,0.7927,0.7929,0.7925,0.7934,0.8237,0.8234,0.8238,0.8242,0.8242,0.8237,0.8241,0.8247",0.000000,280.00,1.000000,0.000000,1.000000,"0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0|0,0,0,0,0,0,0,0",|||||||,|||||||,"{0: [0, 1, 2, 3, 4, 5, 6, 7]}",{0: 0.25},280.00,280.00,280.00,64.00,512.00,802.68,
200,,,,25.235514,91126413110.9961
