step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,control_feature_time_ms,hierarchy_time_ms,window_select_time_ms,control_mapping_time_ms,diagnostics_pack_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s,val_group_count_total,val_group_count_level0,val_group_count_per_level,path_mode_freq,train_group_counts_per_level,controller_logits_std_per_level,win_idx_pre_clamp,win_idx_post_clamp,decision_logits_per_level,decision_logits_var_per_level,controller_input_per_level,controller_input_cos_sim_mean_per_level,controller_input_cos_sim_min_per_level,controller_input_l2_dist_mean_per_level,controller_input_dim_var_mean_per_level,decision_logits_margin_mean_per_level,decision_logits_margin_min_per_level,decision_argmax_diversity_frac_per_level,sibling_feature_delta_norm_mean_per_level,sibling_feature_delta_norm_min_per_level,sibling_feature_delta_norm_max_per_level,sibling_feature_cos_mean_per_level,sibling_feature_cos_min_per_level,sibling_logit_delta_l2_mean_per_level,sibling_logit_delta_l2_max_per_level,sibling_logit_delta_abs_mean_per_level,sibling_logit_delta_abs_max_per_level,sibling_ranking_diff_frac_per_level,sibling_top1_differ_frac_per_level,sibling_top1_ids_per_level,pairwise_bias_l2_mean_per_level,pairwise_bias_l2_max_per_level,pairwise_bias_abs_mean_per_level,pairwise_bias_abs_max_per_level,pairwise_bias_top1_changed_frac_per_level,pairwise_base_top1_ids_per_level,joint_pair_count_per_level,joint_output_delta_l2_mean_per_level,joint_output_delta_l2_max_per_level,joint_output_abs_delta_mean_per_level,joint_output_abs_delta_max_per_level,joint_top1_changed_frac_per_level,joint_base_top1_ids_per_level,joint_output_scale_per_level,decision_raw_idx_per_level,decision_parent_idx_per_level,decision_post_parent_idx_per_level,decision_differ_from_parent_frac_per_level,decision_unique_raw_idx_per_level,decision_unique_post_parent_idx_per_level,decision_non_one_raw_count_per_level,decision_non_one_post_parent_count_per_level,decision_head_idx_before_execution_mapping,decision_head_idx_after_execution_mapping,decision_unique_head_idx_before_execution_mapping,decision_unique_head_idx_after_execution_mapping,decision_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_head_idx_before_execution_mapping,decision_all_layers_unique_head_idx_after_execution_mapping,decision_all_layers_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_raw_idx_per_level,decision_all_layers_unique_post_parent_idx_per_level,all_layers_sibling_ranking_diff_frac_per_level,all_layers_sibling_top1_differ_frac_per_level,all_layers_sibling_top1_ids_per_level,all_layers_joint_pair_count_per_level,all_layers_joint_output_delta_l2_mean_per_level,all_layers_joint_output_abs_delta_mean_per_level,all_layers_joint_top1_changed_frac_per_level,all_layers_joint_base_top1_ids_per_level,hierarchy_head_group_map_per_level,hierarchy_group_members_per_level,cluster_metric_per_level,cluster_threshold_kind_per_level,cluster_threshold_per_level,cluster_item_count_per_level,cluster_groups_before_merge_per_level,cluster_groups_after_merge_per_level,cluster_groups_merged_per_level,cluster_sim_min_per_level,cluster_sim_mean_per_level,cluster_sim_max_per_level,cluster_sim_std_per_level,cluster_forced_bipartition_per_level,cluster_force_split_anchor_similarity_per_level,cluster_origin_per_level,cluster_forced_bipartition_allowed_per_level,cluster_groups_before_force_per_level,cluster_feature_norm_mean_per_level,cluster_feature_norm_std_per_level,cluster_feature_dim_var_mean_per_level,cluster_feature_dim_var_std_per_level,cluster_feature_l2_dist_mean_per_level,cluster_feature_l2_dist_std_per_level,cluster_feature_top_singular_ratio_per_level,hierarchy_level_added_per_level,hierarchy_growth_stopped_per_level,hierarchy_stop_reason_per_level,cluster_forced_bipartition_level0,cluster_force_split_anchor_similarity_level0
50,67.340286,6892.54,6382.68,6382.68,13526.00,12940.19,13526.00,3254.32,2194.29,30361.03,364.48,2.22,4416.90,920.16,1344.79,0.00,3286.45,56958.48,,,201326592.00,1.000000,0.000000,206158430208.00,2061584302080.00,1.000000,0.0000,1024,"1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024","0.8331,0.8326,0.8320,0.8329,0.8321,0.8328,0.8332,0.8322,0.8327,0.8328,0.8326,0.8326,0.8329,0.8332,0.8329,0.8336,0.8333,0.8338,0.8331,0.8332,0.8337,0.8342,0.8340,0.8341,0.8349,0.8348,0.8371,0.8354,0.8369,0.8334,0.8358,0.8355,0.8364,0.8361,0.8339,0.8362,0.8394,0.8392,0.8381,0.8389,0.8394,0.8386,0.8393,0.8399,0.8392,0.8393,0.8391,0.8399,0.8412,0.8401,0.8400,0.8399,0.8403,0.8405,0.8405,0.8400,0.8398,0.8401,0.8403,0.8405,0.8409,0.8399,0.8408,0.8406,0.8402,0.8405,0.8399,0.8409,0.8410,0.8405,0.8407,0.8408,0.8403,0.8409,0.8407,0.8406,0.8405,0.8410,0.8411,0.8406,0.8406,0.8409,0.8402,0.8409,0.8410,0.8411,0.8412,0.8411,0.8403,0.8402,0.8406,0.8403,0.8407,0.8408,0.8409,0.8410,0.8405,0.8401,0.8412,0.8407,0.8405,0.8413,0.8411,0.8408,0.8411,0.8408,0.8413,0.8409,0.8407,0.8410,0.8410,0.8408,0.8406,0.8407,0.8414,0.8407,0.8409,0.8407,0.8413,0.8405,0.8413,0.8413,0.8411,0.8407,0.8408,0.8409,0.8409,0.8415,0.8410,0.8415,0.8409,0.8404,0.8410,0.8413,0.8410,0.8410,0.8412,0.8405,0.8405,0.8412,0.8406,0.8407,0.8415,0.8407,0.8410,0.8414,0.8412,0.8412,0.8416,0.8408,0.8412,0.8407,0.8410,0.8404,0.8404,0.8415,0.8413,0.8407,0.8414,0.8408,0.8415,0.8413,0.8416,0.8417,0.8408,0.8408,0.8407,0.8412,0.8411,0.8410,0.8413,0.8415,0.8410,0.8407,0.8414,0.8405,0.8412,0.8412,0.8415,0.8411,0.8412,0.8409,0.8404,0.8409,0.8406,0.8413,0.8415,0.8410,0.8407,0.8413,0.8409,0.8410",,1024.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},1024.00,0.00,0.00,1.00,0.00,1.00,,{'1024': 1.0},0.00,0.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.07,0.00,0.00,0.00,0.00,0.01,4.11,0.00,1.55,166.09,,,,,{'warmup_or_disabled_control': 1.0},[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],[3],0.0,"[[3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3]]","[[3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,
100,70.824806,7090.61,6382.68,6382.68,13526.00,12940.19,13526.00,3254.32,2194.41,30361.03,364.48,2.22,4416.90,921.30,1345.60,0.00,3290.23,56958.48,,,201326592.00,1.000000,0.000000,206158430208.00,2061584302080.00,1.000000,0.0000,1024,"1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024","0.8326,0.8323,0.8319,0.8321,0.8324,0.8322,0.8301,0.8318,0.8314,0.8324,0.8322,0.8324,0.8340,0.8331,0.8319,0.8337,0.8334,0.8324,0.8334,0.8341,0.8332,0.8339,0.8338,0.8341,0.8369,0.8365,0.8382,0.8376,0.8377,0.8362,0.8378,0.8370,0.8387,0.8372,0.8364,0.8383,0.8409,0.8402,0.8403,0.8409,0.8404,0.8396,0.8401,0.8399,0.8396,0.8401,0.8405,0.8400,0.8406,0.8409,0.8414,0.8404,0.8404,0.8401,0.8406,0.8408,0.8405,0.8405,0.8403,0.8401,0.8407,0.8413,0.8405,0.8407,0.8409,0.8413,0.8411,0.8408,0.8404,0.8410,0.8408,0.8412,0.8409,0.8410,0.8412,0.8408,0.8405,0.8412,0.8408,0.8416,0.8413,0.8412,0.8406,0.8411,0.8408,0.8411,0.8414,0.8419,0.8408,0.8407,0.8412,0.8411,0.8407,0.8409,0.8417,0.8413,0.8412,0.8410,0.8410,0.8412,0.8410,0.8411,0.8414,0.8414,0.8413,0.8410,0.8410,0.8416,0.8406,0.8407,0.8411,0.8414,0.8411,0.8407,0.8410,0.8410,0.8414,0.8408,0.8419,0.8408,0.8414,0.8409,0.8404,0.8408,0.8409,0.8414,0.8409,0.8414,0.8406,0.8409,0.8407,0.8413,0.8412,0.8406,0.8411,0.8414,0.8401,0.8408,0.8402,0.8413,0.8413,0.8413,0.8410,0.8407,0.8412,0.8410,0.8408,0.8412,0.8411,0.8412,0.8412,0.8409,0.8412,0.8412,0.8414,0.8411,0.8413,0.8410,0.8407,0.8410,0.8410,0.8409,0.8407,0.8416,0.8410,0.8409,0.8413,0.8408,0.8413,0.8410,0.8413,0.8405,0.8409,0.8412,0.8415,0.8408,0.8403,0.8413,0.8406,0.8411,0.8416,0.8409,0.8411,0.8411,0.8414,0.8413,0.8414,0.8411,0.8413,0.8411,0.8414,0.8405",,1024.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},1024.00,0.00,0.00,1.00,0.00,1.00,,{'1024': 1.0},0.00,0.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.07,0.00,0.00,0.00,0.00,0.01,4.10,0.00,1.64,168.04,,,,,{'warmup_or_disabled_control': 1.0},[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[3],[3],0.0,"[[3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3]]","[[3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,
150,40.643536,6263.16,6395.69,6395.69,13538.00,12952.44,13538.00,3254.32,2212.17,30547.68,381.97,2.22,4417.43,1051.46,1438.29,0.00,3404.01,56958.48,,,95944704.00,0.476562,0.523438,98247376896.00,1953673248768.00,0.947656,5.2344,1024,"512,512,512,512,512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|256,256,256,256,256,256,256,256,256,256,256,256|128,128,128,128,128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|512,512,512,512,512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128,128,128,128,128","0.8039,0.8043,0.8025,0.8034,0.8052,0.8039,0.7955,0.8036,0.8022,0.8042,0.8032,0.8039,0.6596,0.6603,0.6581,0.6606,0.6599,0.6595,0.6596,0.6601,0.6586,0.6595,0.6597,0.6600,0.7469,0.7465,0.7470,0.7464,0.7473,0.7445,0.7474,0.7479,0.7471,0.7466,0.7459,0.7469,0.8118,0.8121,0.8119,0.8124,0.8128,0.8126,0.8120,0.8130,0.8126,0.8128,0.8120,0.8121,0.8406,0.8404,0.8398,0.8409,0.8412,0.8407,0.8410,0.8405,0.8408,0.8403,0.8407,0.8410,0.7488,0.7491,0.7501,0.7497,0.7486,0.7492,0.7486,0.7490,0.7484,0.7491,0.7484,0.7490,0.6673,0.6670,0.6672,0.6678,0.6665,0.6673,0.6671,0.6668,0.6675,0.6667,0.6661,0.6673,0.7495,0.7488,0.7487,0.7492,0.7489,0.7492,0.7484,0.7495,0.7489,0.7491,0.7496,0.7498,0.8127,0.8135,0.8129,0.8128,0.8130,0.8132,0.8136,0.8131,0.8132,0.8133,0.8131,0.8129,0.8413,0.8414,0.8408,0.8406,0.8408,0.8404,0.8410,0.8403,0.8415,0.8406,0.8408,0.8407,0.8135,0.8129,0.8133,0.8130,0.8127,0.8126,0.8132,0.8132,0.8131,0.8136,0.8130,0.8130,0.8413,0.8406,0.8411,0.8411,0.8402,0.8412,0.8413,0.8405,0.8412,0.8407,0.8415,0.8415,0.8140,0.8132,0.8134,0.8130,0.8130,0.8132,0.8131,0.8135,0.8133,0.8127,0.8136,0.8132,0.8131,0.8135,0.8127,0.8142,0.8133,0.8135,0.8137,0.8129,0.8135,0.8130,0.8124,0.8131,0.8131,0.8130,0.8136,0.8130,0.8128,0.8130,0.8135,0.8136,0.8130,0.8132,0.8128,0.8134,0.6672,0.6676,0.6678,0.6669,0.6673,0.6674,0.6676,0.6667,0.6668,0.6672,0.6676,0.6669",,488.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},488.00,0.00,0.19,0.19,0.19,0.19,0.00,"{'512': 0.4375, '128': 0.1875, '256': 0.1875, '1024': 0.1875}",0.25,0.02,488.00,488.00,488.00,128.00,1024.00,3.17,2.64,0.00,0.20,0.00,0.01,4.04,0.00,3.75,200.09,,,,,{'ungrouped_control_update': 1.0},[12],[0.049027860164642334],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2],[2],0.0,"[[2], [0], [1], [2], [3], [1], [0], [1], [2], [3], [2], [3], [2], [2], [2], [0]]","[[2], [0], [1], [2], [3], [1], [0], [1], [2], [3], [2], [3], [2], [2], [2], [0]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,
200,27.866451,6265.47,6395.69,6395.69,13538.00,12952.44,13538.00,3254.32,2212.20,30547.68,381.97,2.22,4417.43,1051.93,1438.60,0.00,3408.53,56958.48,,,95944704.00,0.476562,0.523438,98247376896.00,1953673248768.00,0.947656,5.2344,1024,"512,512,512,512,512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|256,256,256,256,256,256,256,256,256,256,256,256|128,128,128,128,128,128,128,128,128,128,128,128|256,256,256,256,256,256,256,256,256,256,256,256|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|512,512,512,512,512,512,512,512,512,512,512,512|1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024|512,512,512,512,512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512,512,512,512,512|512,512,512,512,512,512,512,512,512,512,512,512|128,128,128,128,128,128,128,128,128,128,128,128","0.8002,0.8034,0.8009,0.8013,0.8043,0.8027,0.7923,0.8025,0.7974,0.8036,0.8019,0.8038,0.6592,0.6585,0.6569,0.6605,0.6593,0.6589,0.6587,0.6592,0.6589,0.6588,0.6601,0.6580,0.7473,0.7461,0.7468,0.7476,0.7476,0.7458,0.7470,0.7468,0.7477,0.7480,0.7462,0.7473,0.8126,0.8131,0.8127,0.8127,0.8131,0.8123,0.8127,0.8125,0.8125,0.8123,0.8128,0.8130,0.8410,0.8404,0.8409,0.8407,0.8404,0.8409,0.8409,0.8406,0.8411,0.8413,0.8408,0.8414,0.7485,0.7496,0.7490,0.7491,0.7486,0.7486,0.7490,0.7496,0.7496,0.7490,0.7487,0.7490,0.6666,0.6668,0.6675,0.6674,0.6674,0.6670,0.6671,0.6666,0.6671,0.6671,0.6667,0.6672,0.7498,0.7500,0.7486,0.7490,0.7488,0.7487,0.7487,0.7494,0.7489,0.7490,0.7485,0.7493,0.8137,0.8136,0.8130,0.8128,0.8131,0.8122,0.8135,0.8129,0.8130,0.8137,0.8132,0.8134,0.8412,0.8414,0.8410,0.8408,0.8408,0.8405,0.8413,0.8407,0.8411,0.8409,0.8414,0.8408,0.8138,0.8136,0.8139,0.8126,0.8128,0.8128,0.8128,0.8135,0.8131,0.8133,0.8129,0.8129,0.8411,0.8413,0.8411,0.8408,0.8409,0.8410,0.8415,0.8410,0.8409,0.8405,0.8407,0.8417,0.8128,0.8129,0.8135,0.8133,0.8127,0.8131,0.8134,0.8130,0.8138,0.8127,0.8131,0.8128,0.8131,0.8135,0.8134,0.8125,0.8131,0.8136,0.8135,0.8137,0.8137,0.8125,0.8131,0.8128,0.8131,0.8133,0.8134,0.8133,0.8137,0.8129,0.8132,0.8132,0.8124,0.8132,0.8129,0.8135,0.6668,0.6666,0.6671,0.6666,0.6662,0.6672,0.6675,0.6667,0.6673,0.6669,0.6668,0.6669",,488.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},488.00,0.00,0.19,0.19,0.19,0.19,0.00,"{'512': 0.4375, '128': 0.1875, '256': 0.1875, '1024': 0.1875}",0.26,0.03,488.00,488.00,488.00,128.00,1024.00,3.28,2.74,0.00,0.20,0.00,0.01,4.04,0.00,3.87,203.41,,,,,{'ungrouped_control_update': 1.0},[12],[0.04886220768094063],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",[2],[2],0.0,"[[2], [0], [1], [2], [3], [1], [0], [1], [2], [3], [2], [3], [2], [2], [2], [0]]","[[2], [0], [1], [2], [3], [1], [0], [1], [2], [3], [2], [3], [2], [2], [2], [0]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,
