step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
850,10.164618,5032.43,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2987.77,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.35,
900,9.545361,5039.87,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2989.19,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.52,
950,9.615285,5045.42,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.04,2014.71,0.00,2995.80,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.58,
1000,9.667882,4969.38,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.05,2014.71,0.00,2987.64,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,58.92,
1000,,,,8.131321,3399.2887
1050,9.195436,4663.77,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.81,29605.78,355.78,2.22,4267.77,2012.05,2014.71,0.00,3002.28,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.75,
1100,9.606922,5030.61,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2979.29,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.01,
1150,8.997795,5053.49,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2986.50,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.75,
1200,8.868222,5074.57,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2986.91,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.36,
1250,8.765193,5068.84,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2997.80,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.30,
1300,8.693169,5012.98,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,3001.93,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.71,
1350,8.587089,5046.50,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2991.80,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.30,
