step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,step_time_ms,eval_time_s
500,12.317235,4830.59,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7213,0.7924,0.6638,0.6952,0.7465,0.7154,0.6993,0.7287,0.7104,0.7402,0.6911,0.6099,0.7711,0.6675,0.6797,0.6807,0.7482,0.7479,0.7473,0.7482,0.7471,0.7461,0.7479,0.7477,0.8125,0.8122,0.8109,0.8122,0.8118,0.8115,0.8117,0.8122,0.8126,0.8125,0.8129,0.8122,0.8128,0.8120,0.8126,0.8118,0.8235,0.8239,0.8238,0.8239,0.8238,0.8236,0.8236,0.8234,0.7487,0.7494,0.7494,0.7492,0.7494,0.7490,0.7483,0.7493,0.8128,0.8125,0.8129,0.8121,0.8134,0.8126,0.8125,0.8115",756.35,
550,10.902305,4819.77,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7157,0.7801,0.6471,0.6751,0.7406,0.7210,0.6737,0.7207,0.6829,0.7132,0.6575,0.5166,0.7406,0.6382,0.6290,0.6321,0.7479,0.7480,0.7469,0.7485,0.7486,0.7475,0.7475,0.7470,0.8123,0.8122,0.8117,0.8120,0.8126,0.8125,0.8124,0.8117,0.8128,0.8125,0.8125,0.8121,0.8120,0.8126,0.8127,0.8113,0.8240,0.8241,0.8241,0.8241,0.8239,0.8245,0.8242,0.8236,0.7483,0.7473,0.7488,0.7480,0.7490,0.7484,0.7483,0.7484,0.8125,0.8127,0.8120,0.8124,0.8125,0.8120,0.8127,0.8127",739.00,
600,11.114408,4288.20,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7161,0.7742,0.6634,0.6682,0.7489,0.7159,0.6598,0.7224,0.6624,0.6840,0.6273,0.4793,0.7171,0.6177,0.5710,0.5808,0.7480,0.7476,0.7479,0.7474,0.7482,0.7471,0.7467,0.7471,0.8134,0.8115,0.8122,0.8126,0.8124,0.8131,0.8129,0.8127,0.8114,0.8120,0.8126,0.8119,0.8123,0.8118,0.8120,0.8121,0.8236,0.8241,0.8235,0.8238,0.8238,0.8243,0.8243,0.8237,0.7498,0.7486,0.7487,0.7484,0.7487,0.7488,0.7490,0.7489,0.8123,0.8120,0.8130,0.8137,0.8131,0.8128,0.8117,0.8125",746.72,
600,,,,9.775118,17590.5662
650,10.975111,3173.93,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7205,0.7666,0.6620,0.6499,0.7447,0.7162,0.6537,0.7298,0.6528,0.6729,0.6230,0.4837,0.7028,0.6110,0.5436,0.5561,0.7478,0.7479,0.7468,0.7480,0.7482,0.7466,0.7476,0.7473,0.8129,0.8122,0.8118,0.8119,0.8119,0.8122,0.8124,0.8128,0.8123,0.8122,0.8127,0.8126,0.8127,0.8120,0.8126,0.8125,0.8236,0.8241,0.8233,0.8242,0.8246,0.8235,0.8236,0.8242,0.7478,0.7487,0.7491,0.7492,0.7489,0.7494,0.7490,0.7495,0.8129,0.8127,0.8121,0.8128,0.8127,0.8117,0.8120,0.8128",773.76,
700,10.559017,4796.44,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7153,0.7556,0.6646,0.6323,0.7411,0.7148,0.6474,0.7284,0.6508,0.6858,0.6217,0.5001,0.7052,0.6017,0.5756,0.5807,0.7475,0.7480,0.7470,0.7481,0.7467,0.7456,0.7484,0.7474,0.8126,0.8119,0.8118,0.8128,0.8124,0.8129,0.8116,0.8118,0.8116,0.8126,0.8126,0.8128,0.8123,0.8127,0.8128,0.8118,0.8237,0.8244,0.8238,0.8236,0.8238,0.8242,0.8244,0.8236,0.7492,0.7487,0.7492,0.7500,0.7484,0.7498,0.7488,0.7487,0.8130,0.8119,0.8126,0.8129,0.8129,0.8122,0.8129,0.8122",725.58,
750,10.632312,4841.95,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7150,0.7440,0.6680,0.6295,0.7417,0.7155,0.6520,0.7249,0.6804,0.7212,0.6444,0.5292,0.7331,0.6450,0.6261,0.6028,0.7482,0.7478,0.7460,0.7486,0.7478,0.7470,0.7472,0.7471,0.8124,0.8122,0.8127,0.8127,0.8131,0.8122,0.8128,0.8122,0.8133,0.8131,0.8123,0.8117,0.8115,0.8130,0.8124,0.8122,0.8241,0.8244,0.8239,0.8242,0.8242,0.8243,0.8239,0.8237,0.7489,0.7485,0.7493,0.7490,0.7503,0.7491,0.7489,0.7484,0.8127,0.8130,0.8127,0.8132,0.8127,0.8122,0.8123,0.8125",743.88,
800,10.340586,4831.24,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7186,0.7233,0.6627,0.6216,0.7332,0.7157,0.6407,0.7238,0.6775,0.7044,0.6378,0.6042,0.7279,0.6512,0.6539,0.6339,0.7479,0.7470,0.7418,0.7485,0.7462,0.7403,0.7465,0.7481,0.8125,0.8124,0.8119,0.8124,0.8122,0.8120,0.8127,0.8120,0.8129,0.8120,0.8113,0.8127,0.8126,0.8127,0.8126,0.8117,0.8242,0.8239,0.8245,0.8236,0.8234,0.8244,0.8233,0.8239,0.7484,0.7491,0.7498,0.7497,0.7488,0.7478,0.7480,0.7488,0.8122,0.8123,0.8122,0.8126,0.8125,0.8129,0.8121,0.8134",737.23,
800,,,,8.789884,6567.4687
850,10.047818,3140.69,0.00,,,1959.91,,,6291456.00,0.375000,512,"256,256,256,256,256,256,256,256|256,256,256,256,256,256,256,256|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128|128,128,128,128,128,128,128,128|512,512,512,512,512,512,512,512|64,64,64,64,64,64,64,64|128,128,128,128,128,128,128,128","0.7026,0.7049,0.6645,0.6108,0.7250,0.7037,0.6447,0.7218,0.7024,0.7220,0.6621,0.6669,0.7513,0.6770,0.7103,0.6675,0.7486,0.7477,0.7348,0.7481,0.7458,0.7301,0.7476,0.7474,0.8126,0.8122,0.8121,0.8117,0.8119,0.8126,0.8126,0.8125,0.8123,0.8130,0.8125,0.8124,0.8132,0.8127,0.8120,0.8125,0.8238,0.8240,0.8246,0.8239,0.8236,0.8238,0.8243,0.8233,0.7484,0.7487,0.7490,0.7499,0.7493,0.7493,0.7491,0.7486,0.8127,0.8129,0.8134,0.8123,0.8125,0.8123,0.8125,0.8128",754.93,
