step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
1950,7.839339,5396.08,2029.14,,,2029.14,120.59,406936.58,,,,75.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.67,
2000,8.073174,5412.10,2029.14,,,2029.14,102.62,407192.58,,,,67.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.34,
2000,,,,7.133861,1253.7080
2050,8.116072,3611.59,2029.14,,,2029.14,101.39,407192.58,,,,66.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.82,
2100,8.021578,5387.63,2029.14,,,2029.14,92.16,407192.58,,,,57.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.83,
2150,7.927490,5342.40,2029.14,,,2029.14,93.78,407192.58,,,,59.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.15,
2200,7.926261,5385.01,2029.14,,,2029.14,107.69,407192.58,,,,66.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.53,
2250,7.850153,5384.22,2029.14,,,2029.14,101.06,407192.58,,,,65.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.14,
2300,7.788093,5396.87,2029.14,,,2029.14,102.92,407192.58,,,,67.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.43,
2350,7.639886,5367.62,2029.14,,,2029.14,101.36,407192.58,,,,65.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.92,
2400,7.715478,4633.65,2029.14,,,2029.14,102.38,407192.58,,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.84,
2450,7.684623,5392.95,2029.14,,,2029.14,101.64,407192.58,,,,66.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.43,
2500,7.781483,5389.65,2029.14,,,2029.14,102.02,407192.58,,,,66.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.65,
2500,,,,7.039287,1140.5740
2550,7.523437,3721.18,2029.14,,,2029.14,99.88,407192.03,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.29,
2600,7.435640,5402.79,2029.14,,,2029.14,104.42,407192.58,,,,69.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.92,
2650,7.577024,5393.52,2029.14,,,2029.14,102.73,407193.12,,,,67.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.00,
2700,7.458341,5394.92,2029.14,,,2029.14,94.73,407193.12,,,,60.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.41,
2750,7.381123,5374.23,2029.14,,,2029.14,103.28,407193.12,,,,67.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.40,
2800,7.530035,5384.78,2029.14,,,2029.14,97.36,407193.12,,,,62.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.92,
2850,7.498577,5381.14,2029.14,,,2029.14,95.30,407193.12,,,,60.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.92,
2900,7.565442,5380.93,2029.14,,,2029.14,102.98,407193.12,,,,67.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.99,
2950,7.617262,5399.44,2029.14,,,2029.14,103.34,407193.12,,,,68.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.25,
3000,7.460231,4730.39,2029.14,,,2029.14,104.77,407193.12,,,,69.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.86,
3000,,,,6.902647,994.9051
3050,7.315083,3783.67,2029.14,,,2029.14,103.92,407192.58,,,,67.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.46,
3100,7.147593,5388.88,2029.14,,,2029.14,93.23,407192.58,,,,59.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.23,
3150,7.162682,5348.70,2029.14,,,2029.14,103.55,407192.58,,,,68.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.24,
3200,7.215721,5350.90,2029.14,,,2029.14,103.62,407192.58,,,,68.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.19,
3250,7.313280,5375.71,2029.14,,,2029.14,102.62,407192.58,,,,67.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.51,
3300,7.185167,5370.33,2029.14,,,2029.14,94.89,407192.58,,,,60.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.50,
3350,7.139432,5359.11,2029.14,,,2029.14,102.95,407192.58,,,,68.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.39,
3400,6.940961,5370.15,2029.14,,,2029.14,99.50,407192.58,,,,64.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.80,
3450,7.190039,5362.19,2029.14,,,2029.14,98.42,407193.58,,,,63.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.34,
3500,7.094242,5417.37,2029.14,,,2029.14,99.55,407193.58,,,,65.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.76,
3500,,,,6.818773,914.8616
3550,6.936990,3733.50,2029.14,,,2029.14,94.27,407065.03,,,,59.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.06,
3600,6.986642,4569.22,2029.14,,,2029.14,102.77,407065.58,,,,67.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.69,
3650,7.113502,5345.16,2029.14,,,2029.14,89.31,407193.58,,,,55.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.79,
3700,6.855417,5365.02,2029.14,,,2029.14,93.66,407193.58,,,,59.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.48,
3750,6.987365,5364.47,2029.14,,,2029.14,93.64,407192.58,,,,59.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.86,
3800,6.915254,5397.32,2029.14,,,2029.14,103.95,407064.58,,,,68.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.40,
3850,6.838560,5352.50,2029.14,,,2029.14,98.70,407192.58,,,,64.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.98,
