step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
850,10.437840,4344.24,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.93,34083.17,355.16,2.22,4004.72,1751.27,1753.95,0.00,2847.01,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.30,
900,10.199238,4419.58,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.97,34083.17,355.16,2.22,4004.72,1751.31,1753.99,0.00,2854.75,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.78,
950,9.856120,4386.31,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.97,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2851.52,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.47,
1000,10.167056,4361.89,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.97,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2844.88,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.54,
1000,,,,8.172867,3543.4876
1050,10.108024,3991.16,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.97,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2840.25,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.51,
1100,9.599634,4345.05,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.98,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2847.80,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.80,
1150,9.340888,4349.45,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.98,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2847.94,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.22,
1200,14.588428,4355.70,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2849.71,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.82,
1250,10.647776,4368.49,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2849.89,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.27,
1300,9.531836,4415.30,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2847.35,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.06,
1350,9.185400,4326.34,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2846.67,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.74,
1400,9.310595,4385.00,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2846.41,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.77,
1450,9.317314,4382.08,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2852.77,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.02,
1500,9.415571,4323.06,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.32,1754.00,0.00,2836.11,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.77,
1500,,,,7.764906,2356.4364
1550,8.811239,4042.75,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2852.26,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.45,
1600,8.979263,4344.02,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2841.98,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.19,
1650,8.830887,4399.30,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2850.08,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.69,
1700,9.034825,4430.98,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2847.76,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.90,
1750,8.641519,4410.07,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2840.52,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.73,
1800,8.840100,4356.90,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2853.16,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.47,
1850,10.284774,4382.31,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2855.43,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.01,
1900,10.556568,4392.59,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2853.42,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.58,
1950,8.873920,4403.24,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2845.06,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.46,
