step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,effective_attn_elements,effective_ACR,dense_kernel_actual_elements_est,backend_realized_elements_est,backend_realized_ACR_est,backend_name,requested_backend,backend_bucket_counts,backend_kernel_calls,backend_time_ms,backend_fallback_reasons,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,control_feature_time_ms,hierarchy_time_ms,window_select_time_ms,control_mapping_time_ms,diagnostics_pack_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s,val_group_count_total,val_group_count_level0,val_group_count_per_level,path_mode_freq,train_group_counts_per_level,controller_logits_std_per_level,win_idx_pre_clamp,win_idx_post_clamp,decision_logits_per_level,decision_logits_var_per_level,controller_input_per_level,controller_input_cos_sim_mean_per_level,controller_input_cos_sim_min_per_level,controller_input_l2_dist_mean_per_level,controller_input_dim_var_mean_per_level,decision_logits_margin_mean_per_level,decision_logits_margin_min_per_level,decision_argmax_diversity_frac_per_level,sibling_feature_delta_norm_mean_per_level,sibling_feature_delta_norm_min_per_level,sibling_feature_delta_norm_max_per_level,sibling_feature_cos_mean_per_level,sibling_feature_cos_min_per_level,sibling_logit_delta_l2_mean_per_level,sibling_logit_delta_l2_max_per_level,sibling_logit_delta_abs_mean_per_level,sibling_logit_delta_abs_max_per_level,sibling_ranking_diff_frac_per_level,sibling_top1_differ_frac_per_level,sibling_top1_ids_per_level,pairwise_bias_l2_mean_per_level,pairwise_bias_l2_max_per_level,pairwise_bias_abs_mean_per_level,pairwise_bias_abs_max_per_level,pairwise_bias_top1_changed_frac_per_level,pairwise_base_top1_ids_per_level,joint_pair_count_per_level,joint_output_delta_l2_mean_per_level,joint_output_delta_l2_max_per_level,joint_output_abs_delta_mean_per_level,joint_output_abs_delta_max_per_level,joint_top1_changed_frac_per_level,joint_base_top1_ids_per_level,joint_output_scale_per_level,decision_raw_idx_per_level,decision_parent_idx_per_level,decision_post_parent_idx_per_level,decision_differ_from_parent_frac_per_level,decision_unique_raw_idx_per_level,decision_unique_post_parent_idx_per_level,decision_non_one_raw_count_per_level,decision_non_one_post_parent_count_per_level,decision_head_idx_before_execution_mapping,decision_head_idx_after_execution_mapping,decision_unique_head_idx_before_execution_mapping,decision_unique_head_idx_after_execution_mapping,decision_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_head_idx_before_execution_mapping,decision_all_layers_unique_head_idx_after_execution_mapping,decision_all_layers_head_idx_changed_by_execution_mapping_frac,decision_all_layers_unique_raw_idx_per_level,decision_all_layers_unique_post_parent_idx_per_level,all_layers_sibling_ranking_diff_frac_per_level,all_layers_sibling_top1_differ_frac_per_level,all_layers_sibling_top1_ids_per_level,all_layers_joint_pair_count_per_level,all_layers_joint_output_delta_l2_mean_per_level,all_layers_joint_output_abs_delta_mean_per_level,all_layers_joint_top1_changed_frac_per_level,all_layers_joint_base_top1_ids_per_level,hierarchy_head_group_map_per_level,hierarchy_group_members_per_level,cluster_metric_per_level,cluster_threshold_kind_per_level,cluster_threshold_per_level,cluster_item_count_per_level,cluster_groups_before_merge_per_level,cluster_groups_after_merge_per_level,cluster_groups_merged_per_level,cluster_sim_min_per_level,cluster_sim_mean_per_level,cluster_sim_max_per_level,cluster_sim_std_per_level,cluster_forced_bipartition_per_level,cluster_force_split_anchor_similarity_per_level,cluster_origin_per_level,cluster_forced_bipartition_allowed_per_level,cluster_groups_before_force_per_level,cluster_feature_norm_mean_per_level,cluster_feature_norm_std_per_level,cluster_feature_dim_var_mean_per_level,cluster_feature_dim_var_std_per_level,cluster_feature_l2_dist_mean_per_level,cluster_feature_l2_dist_std_per_level,cluster_feature_top_singular_ratio_per_level,hierarchy_level_added_per_level,hierarchy_growth_stopped_per_level,hierarchy_stop_reason_per_level,cluster_forced_bipartition_level0,cluster_force_split_anchor_similarity_level0
200,31.136829,4148.03,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1927.70,242389.22,511.89,2.36,4386.30,1561.89,1681.01,0.00,59435.11,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.53,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.53,0.00,0.15,1928.89,4.18,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,29.593196,7114787548961.6670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,26.461702,3785.29,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1927.84,242389.41,511.89,2.36,4386.48,1562.04,1681.20,0.00,59292.54,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.47,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.47,0.00,0.14,1928.39,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
240,23.277439,4156.46,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1928.57,242390.41,511.89,2.36,4387.48,1562.76,1681.91,0.00,59291.31,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.40,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.40,0.00,0.15,1927.08,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
260,23.664394,4146.17,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1929.11,242390.41,511.89,2.36,4387.48,1563.32,1682.46,0.00,59316.59,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.23,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.23,0.00,0.15,1923.21,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
280,23.512085,4182.61,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1929.45,242390.41,511.89,2.36,4387.48,1563.64,1682.79,0.00,59402.20,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.45,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.45,0.00,0.15,1928.65,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
300,20.171669,4151.94,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1929.66,242391.41,511.89,2.36,4388.48,1563.85,1682.99,0.00,59293.12,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.28,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.28,0.00,0.17,1927.30,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,20.229004,610020746.2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,19.493616,3783.14,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1929.70,242391.41,511.89,2.36,4388.48,1563.89,1683.05,0.00,59296.10,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.59,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.59,0.00,0.15,1931.18,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
340,20.012272,4153.75,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1930.70,242391.73,511.89,2.36,4388.81,1564.90,1684.06,0.00,59309.99,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.33,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.33,0.00,0.15,1926.41,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
360,17.987892,4148.73,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1930.72,242391.73,511.89,2.36,4388.81,1627.07,1756.99,0.00,57426.26,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.47,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.47,0.00,0.15,1929.29,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
380,19.562389,4181.04,11112.72,11112.72,39634.00,37977.28,39634.00,7235.39,1930.72,242391.73,511.89,2.36,4388.81,1564.26,1683.62,0.00,59453.58,1031684.16,,,12884901888.00,1.000000,0.000000,12884901888.00,1.000000,12884901888.00,12884901888.00,1.000000,flex_attention,flex_attention,{'flex_attention': 16},16,15.47,,6597069766656.00,14018773254144.00,1.000000,0.0000,8192,"8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192|8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192",,,8192.00,,,,|||||||||||||||,|||||||||||||||,|||||||||||||||,{},{},8192.00,0.00,0.00,1.00,0.00,1.00,0.00,{'8192': 1.0},0.00,0.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00,,,,,,15.47,0.00,0.15,1928.16,4.08,,,,{'full_attention_fastpath': 1.0},[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,
