"Step","paper-main_4096_deep_practical_reuse-seed0-infer - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0-infer - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0-infer - aah/flops_ratio__MAX","paper-main_4096_deep_practical_reuse-seed0 - aah/flops_ratio","paper-main_4096_deep_practical_reuse-seed0 - aah/flops_ratio__MIN","paper-main_4096_deep_practical_reuse-seed0 - aah/flops_ratio__MAX","paper-main_4096_shallow_freeze-seed0-infer - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0-infer - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0-infer - aah/flops_ratio__MAX","paper-main_4096_shallow_freeze-seed0 - aah/flops_ratio","paper-main_4096_shallow_freeze-seed0 - aah/flops_ratio__MIN","paper-main_4096_shallow_freeze-seed0 - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0-infer - aah/flops_ratio","paper-main_4096_full_adaptive-seed0-infer - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0-infer - aah/flops_ratio__MAX","paper-main_4096_full_adaptive-seed0 - aah/flops_ratio","paper-main_4096_full_adaptive-seed0 - aah/flops_ratio__MIN","paper-main_4096_full_adaptive-seed0 - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0-infer - aah/flops_ratio","paper-main_4096_grouping_off-seed0-infer - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0-infer - aah/flops_ratio__MAX","paper-main_4096_grouping_off-seed0 - aah/flops_ratio","paper-main_4096_grouping_off-seed0 - aah/flops_ratio__MIN","paper-main_4096_grouping_off-seed0 - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0-infer - aah/flops_ratio","paper-main_4096_pure_baseline-seed0-infer - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0-infer - aah/flops_ratio__MAX","paper-main_4096_pure_baseline-seed0 - aah/flops_ratio","paper-main_4096_pure_baseline-seed0 - aah/flops_ratio__MIN","paper-main_4096_pure_baseline-seed0 - aah/flops_ratio__MAX"
"0","0.8035817307692308","0.8035817307692308","0.8035817307692308","","","","0.7969350961538462","0.7969350961538462","0.7969350961538462","","","","0.7687419871794872","0.7687419871794872","0.7687419871794872","","","","0.870556891025641","0.870556891025641","0.870556891025641","","","","1","1","1","","",""
"1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1"
"2","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1","","","","1","1","1"
"3","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539","","","","0.8169070512820513","0.8169070512820513","0.8169070512820513","","","","0.8080929487179487","0.8080929487179487","0.8080929487179487","","","","0.8725961538461539","0.8725961538461539","0.8725961538461539","","","","1","1","1"
"4","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","0.7932692307692307","0.7932692307692307","0.7932692307692307","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","1","1","1"
"6","","","","0.7944711538461539","0.7944711538461539","0.7944711538461539","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","0.7946714743589743","0.7946714743589743","0.7946714743589743","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","1","1","1"
"7","","","","0.7956730769230769","0.7956730769230769","0.7956730769230769","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","0.7946714743589743","0.7946714743589743","0.7946714743589743","","","","0.8711939102564102","0.8711939102564102","0.8711939102564102","","","","1","1","1"
"8","","","","0.7956730769230769","0.7956730769230769","0.7956730769230769","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","0.7950721153846154","0.7950721153846154","0.7950721153846154","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","1","1","1"
"9","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384","","","","0.813301282051282","0.813301282051282","0.813301282051282","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"11","","","","0.8112980769230769","0.8112980769230769","0.8112980769230769","","","","0.8205128205128205","0.8205128205128205","0.8205128205128205","","","","0.8036858974358975","0.8036858974358975","0.8036858974358975","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"12","","","","0.8112980769230769","0.8112980769230769","0.8112980769230769","","","","0.8177083333333334","0.8177083333333334","0.8177083333333334","","","","0.803886217948718","0.803886217948718","0.803886217948718","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"13","","","","0.8016826923076923","0.8016826923076923","0.8016826923076923","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.803886217948718","0.803886217948718","0.803886217948718","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"14","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8040865384615384","0.8040865384615384","0.8040865384615384","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"16","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154","","","","0.8120993589743589","0.8120993589743589","0.8120993589743589","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"17","","","","0.8028846153846154","0.8028846153846154","0.8028846153846154","","","","0.8120993589743589","0.8120993589743589","0.8120993589743589","","","","0.8032852564102564","0.8032852564102564","0.8032852564102564","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","1","1","1"
"18","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8699919871794872","0.8699919871794872","0.8699919871794872","","","","1","1","1"
"19","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8687900641025641","0.8687900641025641","0.8687900641025641","","","","1","1","1"
"21","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"22","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"23","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8661858974358975","0.8661858974358975","0.8661858974358975","","","","1","1","1"
"24","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"26","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"27","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"28","","","","0.7908653846153846","0.7908653846153846","0.7908653846153846","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"29","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"31","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8685897435897436","0.8685897435897436","0.8685897435897436","","","","1","1","1"
"32","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"33","","","","0.8004807692307693","0.8004807692307693","0.8004807692307693","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.8050881410256411","0.8050881410256411","0.8050881410256411","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"34","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7992788461538461","0.7992788461538461","0.7992788461538461","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"36","","","","0.7920673076923077","0.7920673076923077","0.7920673076923077","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7918669871794872","0.7918669871794872","0.7918669871794872","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"37","","","","0.7872596153846154","0.7872596153846154","0.7872596153846154","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7866586538461539","0.7866586538461539","0.7866586538461539","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"38","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7874599358974359","0.7874599358974359","0.7874599358974359","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"39","","","","0.7872596153846154","0.7872596153846154","0.7872596153846154","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7954727564102564","0.7954727564102564","0.7954727564102564","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"41","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7696314102564102","0.7696314102564102","0.7696314102564102","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"42","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7822516025641025","0.7822516025641025","0.7822516025641025","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"43","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7834535256410257","0.7834535256410257","0.7834535256410257","","","","0.8673878205128205","0.8673878205128205","0.8673878205128205","","","","1","1","1"
"44","","","","0.7800480769230769","0.7800480769230769","0.7800480769230769","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.7864583333333334","0.7864583333333334","0.7864583333333334","","","","0.8659855769230769","0.8659855769230769","0.8659855769230769","","","","1","1","1"
"46","","","","0.7788461538461539","0.7788461538461539","0.7788461538461539","","","","0.8092948717948718","0.8092948717948718","0.8092948717948718","","","","0.782051282051282","0.782051282051282","0.782051282051282","","","","0.8647836538461539","0.8647836538461539","0.8647836538461539","","","","1","1","1"
